STANDARD_NAME,21A,22A,22B,23A,23B,RA,DEC
C202205181253304p060311,,C202205181253304p060311,,,,193.37670667945176,6.053160900200663
C202303011253385p064956,,,,C202303011253385p064956,,193.41060577327968,6.832201190827386
T202204211253407p055204,,T202204211253407p055204,,,,193.41964901238384,5.867753702156116
T202401071253442p061533,,T202401071253442p061533,,,,193.43404712713885,6.259090268313508
T202204211254175p053541,,T202204211254175p053541,,,,193.57310852512103,5.594759797584575
A202205301254245p065527,,A202205301254245p065527,,,,193.6018904393449,6.924224847589213
T202305121254265p063518,,,,T202305121254265p063518,,193.61040671382997,6.5883262181423525
T202206081254311p050941,,T202206081254311p050941,,,,193.62947975652267,5.1613736991185055
T202204211254314p050954,,T202204211254314p050954,,,,193.63072016458992,5.165124265381063
T202205181254445p074026,,T202205181254445p074026,,,,193.6854144458612,7.673786612781409
C202204211254532p050334,,C202204211254532p050334,,,,193.72168863251468,5.059415863012077
C202204211254561p063528,,C202204211254561p063528,,,,193.73395057907743,6.591189118010994
T202204211255143p073811,,T202204211255143p073811,,,,193.80978460624144,7.636318134026094
C202302171255204p065303,,,,C202302171255204p065303,,193.8350696077496,6.884219623587298
A202204211255309p073051,,A202204211255309p073051,,A202302171255309p073051,,193.8787984318313,7.514081362334011
T202401101255316p064159,,T202401101255316p064159,,,,193.8814791531864,6.69970818258391
T202204211255347p052326,,T202204211255347p052326,,,,193.89449568670213,5.390627592014222
C202303221255591p070957,,,,C202303221255591p070957,,193.9961849879984,7.165804964153807
T202302081256245p051035,,,,T202302081256245p051035,,194.10208000161185,5.176522227096061
T202302081256346p073627,,,,T202302081256346p073627,,194.1443516257444,7.607376312998892
T202205181256398p052743,,T202205181256398p052743,,,,194.16581843278743,5.461925058585651
A202302171256458p055514,,,,A202302171256458p055514,,194.19076777686,5.920576797510844
A202204211256473p055357,,A202204211256473p055357,,,,194.19725261587013,5.8991635811624805
C202302261256482p050508,,,,C202302261256482p050508,,194.20094632849097,5.085673978948936
A202204241256512p063338,,A202204241256512p063338,,,,194.21322900465904,6.560471303917288
C202401071256525p045627,,C202401071256525p045627,,,,194.21887266808216,4.940851312672387
T202401071257034p055258,,T202401071257034p055258,,,,194.26425109751784,5.882794999255483
C202302171257035p051857,,,,C202302171257035p051857,,194.2645497362008,5.315761794534959
C202207011257067p045847,,C202207011257067p045847,,,,194.27772789612004,4.979755451307495
A202401011257110p070510,,A202401011257110p070510,,,,194.2957603429371,7.086131460068287
T202204241257221p071551,,T202204241257221p071551,,,,194.342241606424,7.26424578289822
C202204211257235p063531,,C202204211257235p063531,,,,194.3480892237636,6.591907159141528
A202205031257319p071445,,A202205031257319p071445,,,,194.38281884390824,7.245713480825938
T202305121257327p063440,,,,T202305121257327p063440,,194.3862459690069,6.577813181900091
T202207011257405p071316,,T202207011257405p071316,,,,194.4187286607369,7.221219180785902
C202302081257413p072657,,,,C202302081257413p072657,,194.42201261777203,7.4491258255901265
T202303311257436p051636,,,,T202303311257436p051636,,194.4317273513228,5.276613708239829
T202302171257472p051934,,,,T202302171257472p051934,,194.4466305992761,5.3261925704071125
A202204241257499p081429,,A202204241257499p081429,,,,194.45794460422505,8.241485295874512
T202302171257537p053649,,,,T202302171257537p053649,,194.47354632084287,5.613508571767249
C202206081258190p063917,,C202206081258190p063917,,,,194.5792921126183,6.654756534008098
T202204211258196p052351,,T202204211258196p052351,,,,194.58181019468137,5.397547866687802
A202302171258206p064940,,,,A202302171258206p064940,,194.58589998252023,6.827851505733336
A202204301258212p080821,,A202204301258212p080821,,,,194.588236800118,8.139246533332281
A202204241258364p063416,,A202204241258364p063416,,,,194.65165495148185,6.5709736575701685
T202302171258543p064617,,,,T202302171258543p064617,,194.72639792969804,6.771422209881368
T202204241258570p063756,,T202204241258570p063756,,,,194.73748107424765,6.632135840183669
T202204211259012p074327,,T202204211259012p074327,,,,194.755091554258,7.724119779187491
A202401071259041p053121,,A202401071259041p053121,,,,194.76715030213649,5.522453697353625
T202302261259045p053355,,,,T202302261259045p053355,,194.7688607387665,5.565376775343183
C202305121259299p072615,,,,C202305121259299p072615,,194.8743763229864,7.437472189375707
A202204241259347p074805,,A202204241259347p074805,,,,194.8947655802484,7.801334128783089
A202204211259373p053653,,A202204211259373p053653,,,,194.90532218367431,5.61463795998254
C202204211259402p081139,,C202204211259402p081139,,,,194.9173824781249,8.194187222117156
C202303221259428p061954,,,,C202303221259428p061954,,194.92852021159743,6.331552115537562
T202302171300006p070354,,,,T202302171300006p070354,,195.0027071564786,7.064992849304504
C202303161300049p064851,,,,C202303161300049p064851,,195.0205721335479,6.814063127004808
T202305121300101p080923,,,,T202305121300101p080923,,195.0420561380061,8.156278919457701
A202204211300223p062133,,A202204211300223p062133,,,,195.0929845796316,6.359244964524003
C202302081300240p072206,,,,C202302081300240p072206,,195.0999541897327,7.36836030570498
T202204211300335p075315,,T202204211300335p075315,,,,195.1396716902514,7.887555642286985
C202206081300385p071522,,C202206081300385p071522,,,,195.1605388321076,7.255998534097529
T202302081300430p081807,,,,T202302081300430p081807,,195.1789741266901,8.302043199249793
C202401071300492p081323,,C202401071300492p081323,,,,195.20510704364085,8.223125430741764
T202303161300546p062359,,,,T202303161300546p062359,,195.2276443823027,6.399704265261331
T202204211300576p070235,,T202204211300576p070235,,,,195.2400053422649,7.043097465711597
T202302171301123p064804,,,,T202302171301123p064804,,195.3011905034529,6.801146977584375
T202207011301149p064316,,T202207011301149p064316,,,,195.31222280685853,6.72099583207272
C202204241301211p064222,,C202204241301211p064222,,,,195.33791767578103,6.706110920277591
A202204211301228p080441,,A202204211301228p080441,,,,195.3450861699483,8.078167089964804
T202303221301298p052714,,,,T202303221301298p052714,,195.3741871417477,5.453893341000113
A202302171301303p075349,,,,A202302171301303p075349,,195.37624356672063,7.896961783710591
T202206081301386p072523,,T202206081301386p072523,,,,195.41065748642163,7.423091986042238
T202401011301394p062605,,T202401011301394p062605,,,,195.41411720467744,6.434771355802313
T202204211301423p063456,,T202204211301423p063456,,,,195.42619899579392,6.5823115835847
C202305121301428p071531,,,,C202305121301428p071531,,195.42842313455083,7.258575798144657
A202204241301445p065439,,A202204241301445p065439,,,,195.43553762299285,6.910927913923088
A202204211301481p053933,,A202204211301481p053933,,,,195.45033676377253,5.65921845160585
T202204211301485p061149,,T202204211301485p061149,,,,195.4520411284052,6.1969913207072045
T202303011301498p050324,,,,T202303011301498p050324,,195.4573670095133,5.056739403615057
C202305121301552p051819,,,,C202305121301552p051819,,195.48012444585788,5.305394195767851
T202401011302031p071956,,T202401011302031p071956,,,,195.5128813058802,7.33235280363581
C202205091302039p073146,,C202205091302039p073146,,,,195.5163987415068,7.529466846395957
C202204241302122p071409,,C202204241302122p071409,,,,195.55085525863797,7.235918209604938
A202205061302262p074310,,A202205061302262p074310,,,,195.60896302031952,7.719422380743151
C202207011302284p070853,,C202207011302284p070853,,,,195.61847370534477,7.1479404004918665
C202302261302299p061860,,,,C202302261302299p061860,,195.6245708221874,6.316556214689478
C202302081302406p054715,,,,C202302081302406p054715,,195.66924912169023,5.787585702388035
T202207011302530p063655,,T202207011302530p063655,,,,195.72086569033897,6.615405606636803
T202204211302561p052854,,T202204211302561p052854,,,,195.7337222608849,5.481551917602418
T202303221302574p074049,,,,T202303221302574p074049,,195.7391447057892,7.680300839849519
A202204211302584p060132,,A202204211302584p060132,,,,195.7432795123794,6.02566502806135
C202302171303167p060823,,,,C202302171303167p060823,,195.8196081307346,6.139624159358423
C202204301303303p071741,,C202204301303303p071741,,,,195.87634506748304,7.294720402865425
T202401011303348p075543,,T202401011303348p075543,,,,195.8951110847296,7.928564989818074
C202205181303367p051040,,C202205181303367p051040,,,,195.9030067283514,5.17789238982967
T202302171303378p051358,,,,T202302171303378p051358,,195.9073817216567,5.232664948957134
C202204211303383p064949,,C202204211303383p064949,,,,195.90950402551144,6.830142301379027
C202401011303422p053340,,C202401011303422p053340,,,,195.92603604839147,5.561079725689076
T202401071303559p073603,,T202401071303559p073603,,,,195.98280916325925,7.600908378350565
C202205091304053p074337,,C202205091304053p074337,,,,196.0221416488952,7.726912377870378
T202401271304313p075139,,T202401271304313p075139,,,,196.1302999019537,7.860796540808206
T202302171304468p080123,,,,T202302171304468p080123,,196.19483673653232,8.023051008666513
A202302081304492p063059,,,,A202302081304492p063059,,196.20488843923567,6.516437856115355
A202304121304501p052227,,,,A202304121304501p052227,,196.2086151388726,5.374112284411251
A202401011304587p073044,,A202401011304587p073044,,,,196.2447002769413,7.512165680264761
A202302081305047p064027,,,,A202302081305047p064027,,196.26947872448903,6.674064983753206
C202205241305175p060903,,C202205241305175p060903,,,,196.3228003921629,6.150699262081284
C202302261305195p065146,,,,C202302261305195p065146,,196.33120403473785,6.862674589853544
T202205211305203p064304,,T202205211305203p064304,,,,196.33476228748285,6.7178024583251945
C202401011305230p054105,,C202401011305230p054105,,,,196.34571492834857,5.684851094357198
A202204211305426p070938,,A202204211305426p070938,,,,196.4275430649749,7.160417536960438
A202205091305569p061704,,A202205091305569p061704,,,,196.48713950312012,6.284312645521529
T202206081306031p073609,,T202206081306031p073609,,,,196.51283806815755,7.602405636813402
T202205031306031p060846,,T202205031306031p060846,,,,196.5129108972661,6.146014211102207
C202205181306303p061030,,C202205181306303p061030,,,,196.62634008137988,6.175033563401301
T202204211306317p073948,,T202204211306317p073948,,,,196.6321165539052,7.6632680125906685
C202401011306475p060053,,C202401011306475p060053,,,,196.6980340655825,6.014609926317613
T202207011306516p065855,,T202207011306516p065855,,,,196.7148300909473,6.981835476822387
T202304031307155p065047,,,,T202304031307155p065047,,196.8147064513388,6.846497477395147
T202401011307194p060010,,T202401011307194p060010,,,,196.8307141171425,6.002901116252238
T202303311307249p060216,,,,T202303311307249p060216,,196.85377957781063,6.037722500311338
A202302171307254p070433,,,,A202302171307254p070433,,196.8560004944076,7.075820784110169
C202401011307287p080128,,C202401011307287p080128,,,,196.8695255656263,8.024479352303747
T202401071307319p055305,,T202401071307319p055305,,,,196.88300527283403,5.884666502480375
T202302081307322p061914,,,,T202302081307322p061914,,196.88415280606264,6.320498615288303
T202401011307325p063746,,T202401011307325p063746,,,,196.88537484205185,6.629342410400237
C202205211307390p063957,,C202205211307390p063957,,,,196.9125704137341,6.665957854546814
A202204211307510p051518,,A202204211307510p051518,,,,196.9624024815417,5.255002767819434
C202302171307542p053551,,,,C202302171307542p053551,,196.97574313417672,5.597390487019338
C202204211308070p072049,,C202204211308070p072049,,,,197.0291066551792,7.347077322828845
T202302081308130p071717,,,,T202302081308130p071717,,197.05436270371945,7.2881669039970784
C202303221308135p065755,,,,C202303221308135p065755,,197.0561947436663,6.965156192127378
T202206251308215p051456,,T202206251308215p051456,,,,197.0893920759315,5.248974500607671
T202207011308226p070325,,T202207011308226p070325,,,,197.0941643212772,7.05692211195569
C202204211309004p055131,,C202204211309004p055131,,,,197.2515447557508,5.858477590942048
C202302081309204p055440,,,,C202302081309204p055440,,197.3349815094821,5.911068233412179
C202303221309233p075219,,,,C202303221309233p075219,,197.34724223264425,7.871880914517625
A202204211309244p070809,,A202204211309244p070809,,,,197.3515449631768,7.135951880443328
C202204211309247p054929,,C202204211309247p054929,,,,197.3530654020164,5.8247755055400585
C202302171309414p061112,,,,C202302171309414p061112,,197.4224575705872,6.186769268949451
T202207011309440p054501,,T202207011309440p054501,,,,197.4334939815572,5.750156179339223
A202204241309503p054333,,A202204241309503p054333,,,,197.4593900488001,5.725930842350028
C202303041310034p054651,,,,C202303041310034p054651,,197.5140544176056,5.780796999332741
A202207011310449p054839,,A202207011310449p054839,,,,197.6869841954103,5.810712502699782
C202302081311046p052444,,,,C202302081311046p052444,,197.76905874878057,5.412145063185114
C202205301311129p051626,,C202205301311129p051626,,,,197.80362209795268,5.274022771452847
T202401131311282p062503,,T202401131311282p062503,,,,197.86770583345,6.417411920793746
T202204241312242p061026,,T202204241312242p061026,,,,198.10085555377665,6.173907984524228
C202204241312254p061945,,C202204241312254p061945,,,,198.1058812125369,6.3291816518681765
T202401011312305p052027,,T202401011312305p052027,,,,198.1269301260252,5.3408051656381295
A202204241312502p061016,,A202204241312502p061016,,,,198.20923318541043,6.171030010913528
A202302171312520p062915,,,,A202302171312520p062915,,198.21659407671947,6.487408179268598
A202302081312570p054510,,,,A202302081312570p054510,,198.2373706044096,5.752865539490638
C202305121313135p053644,,,,C202305121313135p053644,,198.306107092202,5.612359574610172
T202210260008201m002039,,,T202210260008201m002039,,,2.0836965475830738,-0.3442740657043679
A202210110008284p001651,,,A202210110008284p001651,,,2.1184297780205084,0.2809233726295123
T202210170008368m001901,,,T202210170008368m001901,,,2.1532904157191983,-0.3169869267837542
C202210170008431p001747,,,C202210170008431p001747,,,2.179516346430162,0.2963682148136841
T202307200008479m001657,,,T202307200008479m001657,,,2.1994015817468293,-0.2824565737235149
T202308020009413m003150,,,,,T202308020009413m003150,2.42201307382632,-0.5305477911900378
T202210140010266m001118,,,T202210140010266m001118,,,2.6108119173009943,-0.1882546910789454
C202307260011054p001914,,,C202307260011054p001914,,,2.772532345443091,0.3205275971328276
T202310090011137m002157,,,,,T202310090011137m002157,2.806880308892625,-0.3659444833350139
T202307200011270p000934,,,T202307200011270p000934,,,2.8625746870060174,0.1595627261907277
C202310090011291m003420,,,,,C202310090011291m003420,2.871429956328792,-0.5721951287752571
T202304031325194p164250,,,,T202304031325194p164250,,201.33076268706435,16.713944890965763
T202302081327440p155807,,,,T202302081327440p155807,,201.93326957551312,15.96854679508136
A202302081328028p155107,,,,A202302081328028p155107,,202.01174308092288,15.85196556212183
T202302081329399p161514,,,,T202302081329399p161514,,202.4161138737744,16.253936401590703
C202302081329476p180229,,,,C202302081329476p180229,,202.44843957637212,18.04130145476795
T202303251330084p165852,,,,T202303251330084p165852,,202.53481674574672,16.981227308417374
A202302081330089p162852,,,,A202302081330089p162852,,202.5371285588428,16.48106640628484
C202302081330338p185115,,,,C202302081330338p185115,,202.6407093153876,18.854271004176454
T202302081330445p170848,,,,T202302081330445p170848,,202.68527240740204,17.146653262559983
T202303041331164p164158,,,,T202303041331164p164158,,202.81821057413956,16.69948867129073
A202303041331203p155509,,,,A202303041331203p155509,,202.83438946397249,15.919094639384063
A202303041331464p174041,,,,A202303041331464p174041,,202.94333963965028,17.678101148081073
C202302081331572p190324,,,,C202302081331572p190324,,202.988473618729,19.05659026878302
C202302081332123p171544,,,,C202302081332123p171544,,203.051441213963,17.262270942718388
C202302081332236p184111,,,,C202302081332236p184111,,203.0983571999425,18.686335040398035
T202303101332491p181026,,,,T202303101332491p181026,,203.20440905305765,18.17379605813733
T202302081332506p190635,,,,T202302081332506p190635,,203.2109515498903,19.10971431752856
C202304121333009p185228,,,,C202304121333009p185228,,203.2536429515521,18.87457796723781
A202303041333350p182360,,,,A202303041333350p182360,,203.3958927320414,18.399881936825988
C202303041333379p170629,,,,C202303041333379p170629,,203.40777381429425,17.10808034050124
C202303281334130p165934,,,,C202303281334130p165934,,203.55423281576333,16.992653028878216
C202305101334268p172706,,,,C202305101334268p172706,,203.6118631284077,17.451669353279133
T202303251334330p172149,,,,T202303251334330p172149,,203.63738190224288,17.36348834740838
T202305211334417p170925,,,,T202305211334417p170925,,203.6738761482556,17.156958838560644
C202302081335244p183158,,,,C202302081335244p183158,,203.8516231945631,18.53289549690165
T202302081335390p183722,,,,T202302081335390p183722,,203.9126551560161,18.622796098607974
A202303041338423p161846,,,,A202303041338423p161846,,204.6762212381217,16.312707816444142
A202105091355201p044640,A202105091355201p044640,,,,,208.8339206977193,4.777665300873454
A202105091355542p045305,A202105091355542p045305,,,,,208.97585999093135,4.884829439519664
A202105151357216p060251,A202105151357216p060251,,,,,209.33984473370148,6.047369085486437
C202105091359125p045958,C202105091359125p045958,,,,,209.80225257607665,4.9993706183582045
A202105061400510p053255,A202105061400510p053255,,,,,210.212470428839,5.548749137818704
T202105061403510m013660,T202105061403510m013660,,,,,210.96245849678803,-1.6165498084220309
T202105301403557p014115,T202105301403557p014115,,,,,210.9821794403693,1.6875320413789323
A202103221404509m014640,A202103221404509m014640,,,,,211.21226803524948,-1.7776781368364594
C202103221405489p010710,C202103221405489p010710,,,,,211.45380566125615,1.1194343958703623
C202105061406292m004325,C202105061406292m004325,,,,,211.62150487869843,-0.7236492356333624
C202106021406348m020813,C202106021406348m020813,,,,,211.6451538552448,-2.137006024986184
C202105301407379p014230,C202105301407379p014230,,,,,211.90807504014043,1.70840827434823
A202103221407392p000229,A202103221407392p000229,,,,,211.9132925992481,0.0413264578362048
C202103221407429m000451,C202103221407429m000451,,,,,211.9286757372336,-0.0807254049321307
A202103221407429p022855,A202103221407429p022855,,,,,211.92868833994007,2.4819088982186845
A202103221408044m032820,A202103221408044m032820,,,,,212.01841730071504,-3.4721310193194834
A202103221408060p015757,A202103221408060p015757,,,,,212.0249191550401,1.9659103382987468
A202106021408090m011708,A202106021408090m011708,,,,,212.03750346467515,-1.2856559683158912
A202104151408147m001144,A202104151408147m001144,,,,,212.06127116526568,-0.1954653218063695
A202103221408354m000323,A202103221408354m000323,,,,,212.1476596677866,-0.0562813559544271
T202103221409114m002441,T202103221409114m002441,,,,,212.2974350932761,-0.4114033799608396
C202103241409174p012921,C202103241409174p012921,,,,,212.3227052534386,1.4892804251317606
T202106021409475p004534,T202106021409475p004534,,,,,212.44798397428735,0.7595524811512906
A202103221409524m022117,A202103221409524m022117,,,,,212.46848077113543,-2.354586717200749
A202104061410133m030049,A202104061410133m030049,,,,,212.55559555297444,-3.0136797668644952
C202106021410145p015330,C202106021410145p015330,,,,,212.56021432347785,1.8917632116356813
C202104061410153p022017,C202104061410153p022017,,,,,212.56390838844692,2.338035590422518
A202103221410197p004456,A202103221410197p004456,,,,,212.58221855775383,0.7489051125026698
C202105031410224m011849,C202105031410224m011849,,,,,212.59314692112687,-1.3136230963534112
A202105151410265p010245,A202105151410265p010245,,,,,212.61031200018425,1.0457114444070463
C202103221410269m003625,C202103221410269m003625,,,,,212.6118936048321,-0.6070251763553545
C202103221410376p013633,C202103221410376p013633,,,,,212.6566599407168,1.6090881581586216
A202106021410417p001347,A202106021410417p001347,,,,,212.67369638667785,0.2297414426331649
A202103221410596p013631,A202103221410596p013631,,,,,212.7483632897384,1.6087006027137436
C202106021411281m025721,C202106021411281m025721,,,,,212.867046366116,-2.9558796360147905
A202103221412277m023560,A202103221412277m023560,,,,,213.1152491526132,-2.59998864493578
A202105151412287m000406,A202105151412287m000406,,,,,213.1194789209987,-0.0682945978110342
A202106021412548m022224,A202106021412548m022224,,,,,213.22823938087035,-2.373349024582045
C202104091412555p003457,C202104091412555p003457,,,,,213.23143932090773,0.5824418333777477
A202104061413404m035019,A202104061413404m035019,,,,,213.4182624252112,-3.838495081916197
A202104061413429m032612,A202104061413429m032612,,,,,213.4285480892411,-3.4365403316351952
T202304121413485m000717,,,,T202304121413485m000717,,213.4522490750876,-0.1212891638810527
C202105271413540p020722,C202105271413540p020722,,,,,213.4752022787684,2.1226865239667703
C202206251414084p000620,,C202206251414084p000620,,,,213.5351271439833,0.1054688189539476
T202204211414203m001124,,T202204211414203m001124,,,,213.58474647150905,-0.1900681294326006
T202204301414293m000540,,T202204301414293m000540,,,,213.62197407411136,-0.094402623382934
C202303221414300m002310,,,,C202303221414300m002310,,213.6248559907574,-0.3860707424442812
A202205181414357p002853,,A202205181414357p002853,,,,213.6488788397804,0.4814558379439052
T202207011414423m001857,,T202207011414423m001857,,T202303221414423m001857,,213.67626895181257,-0.3159002674408673
C202104091414429m015156,C202104091414429m015156,,,,,213.6788195898141,-1.8654186430888933
A202303281414505m003233,,,,A202303281414505m003233,,213.71026982156403,-0.5425534595714319
T202206251414535p000049,,T202206251414535p000049,,,,213.7230233956309,0.0137151732592105
A202104061415068p022542,A202104061415068p022542,,,,,213.7783622196829,2.4284204139422707
C202104091415150p021717,C202104091415150p021717,,,,,213.81250744859364,2.2879804949304137
A202105061415179p020156,A202105061415179p020156,,,,,213.82451173104988,2.032249579183886
T202204211415195m003021,,T202204211415195m003021,,,,213.8313264130305,-0.5059443452365769
T202205241415246p001603,,T202205241415246p001603,,,,213.8524303552865,0.2674292022567119
C202204301415248p001602,,C202204301415248p001602,,,,213.85323964830036,0.2672441276434309
A202104061415293m001101,A202104061415293m001101,,,,,213.8721138797356,-0.1834911201808112
C202104091415332m000331,C202104091415332m000331,,,,,213.8883026637895,-0.058675689479135
T202303221415351m000340,,,,T202303221415351m000340,,213.8960597341356,-0.0610554182465074
T202106021415384p001444,T202106021415384p001444,,,,,213.9100892062904,0.2455451460376028
C202204211415477m002316,,C202204211415477m002316,,,,213.94894338810303,-0.3877378850114675
C202204211416039p005302,,C202204211416039p005302,,,,214.0162222585284,0.8839158703256296
A202106021416057m012060,A202106021416057m012060,,,,,214.0237104155396,-1.3498691012407025
A202103221416097m035503,A202103221416097m035503,,,,,214.0405192183156,-3.91763018971552
C202303221416256m003333,,,,C202303221416256m003333,,214.1066939323952,-0.5591683552271289
C202104151416482p000902,C202104151416482p000902,,,,,214.20100131665455,0.1504239662769042
C202103221416511p021517,C202103221416511p021517,,,,,214.2131244225376,2.254652787284064
C202207011416538m002410,,C202207011416538m002410,,,,214.2243381094622,-0.4026517300540001
A202207011416587m004559,,A202207011416587m004559,,,,214.24459193199544,-0.7663569124296209
C202207011417092m002709,,C202207011417092m002709,,,,214.2884535991988,-0.452467734419038
A202103221417304m001718,A202103221417304m001718,,,A202303221417304m001718,,214.3765955712186,-0.2882575443087464
C202106021417315p004534,C202106021417315p004534,,,,,214.3811597341592,0.7595480397553566
C202104061417333p005338,C202104061417333p005338,,,,,214.388894224766,0.8940139039620738
T202207041417396m004637,,T202207041417396m004637,,,,214.4150933301267,-0.7770255404951185
T202204211417453m015617,,T202204211417453m015617,,,,214.43858536995157,-1.937977996430212
T202303221417455p002538,,,,T202303221417455p002538,,214.4397389987436,0.4273136124783727
T202104091417519m034550,T202104091417519m034550,,,,,214.46632806302645,-3.7637694394401615
C202104181417571m012420,C202104181417571m012420,,,,,214.4880223267533,-1.4054903473796287
C202305121417574m001727,,,,C202305121417574m001727,,214.4891174136161,-0.2908999467911769
C202304121418038m000907,,,,C202304121418038m000907,,214.51603591762355,-0.151844844865452
T202303221418153m001142,,,,T202303221418153m001142,,214.5638766033408,-0.1949065139506949
C202205271418183p004802,,C202205271418183p004802,,,,214.5764023116117,0.8005161748602159
C202105061418191m003823,C202105061418191m003823,,,,,214.57938646500256,-0.6396149489197018
T202204271418192m013945,,T202204271418192m013945,,,,214.5801517151204,-1.6625295131032567
T202103241418313m020724,T202103241418313m020724,,,,,214.63027480996163,-2.123371383770796
C202105181418520m021042,C202105181418520m021042,,,,,214.7167113159075,-2.178253780913644
C202303221418539m020246,,,,C202303221418539m020246,,214.7247809420121,-2.046153750000875
A202104121418583m020408,A202104121418583m020408,,,,,214.74309235430573,-2.068864696973077
C202208111419011m001231,,,C202208111419011m001231,,,214.7547512779049,-0.2086731119953396
C202303281419114m004418,,,,C202303281419114m004418,,214.79762464957705,-0.7383490877051962
A202204211419162m005352,,A202204211419162m005352,,,,214.8175396783228,-0.8977017523252661
C202204211419173p004149,,C202204211419173p004149,,,,214.8220308751212,0.6968340502166107
T202207011419179m001121,,T202207011419179m001121,,,,214.8247004156726,-0.1890783932947622
T202204211419197m015906,,T202204211419197m015906,,,,214.83192392388372,-1.9849027813303264
T202206281419209m001224,,T202206281419209m001224,T202208111419210m001225,,,214.8372783935918,-0.2067852887037924
C202105151419249m015743,C202105151419249m015743,,,,,214.85372148297023,-1.9620631457221749
C202106021419258p005105,C202106021419258p005105,,,,,214.8573008138004,0.851492173134015
C202204211419271p000550,,C202204211419271p000550,,,,214.8628193579766,0.097244284045237
T202305151419292m011121,,,,T202305151419292m011121,,214.87182892638376,-1.189229749846219
C202104091419326p011920,C202104091419326p011920,,,,,214.88574543421032,1.3222986455978558
T202303281419329m022250,,,,T202303281419329m022250,,214.8870411526166,-2.380540730827672
A202206281419411m015318,,A202206281419411m015318,,,,214.9213031462144,-1.8882441701037869
T202103221419463p014415,T202103221419463p014415,,,,,214.9431128085619,1.7375429041813883
A202103221419468p012960,A202103221419468p012960,,,,,214.94503888627548,1.499962787168619
A202103221419486p015840,A202103221419486p015840,,,,,214.952303746677,1.977745120755645
A202206251419495m003436,,A202206251419495m003436,,,,214.9562465937024,-0.5768043946453296
A202307141419599m003257,,,,A202307141419599m003257,,214.9996223481308,-0.5492102889150805
A202103221420007m031954,A202103221420007m031954,,,,,215.00299435660443,-3.331766861155677
A202204301420018m003313,,A202204301420018m003313,,,,215.0074411046397,-0.5536604386163985
C202204211420045m004825,,C202204211420045m004825,,,,215.01871716342208,-0.8069622767831961
A202303221420080m015945,,,,A202303221420080m015945,,215.0333411279641,-1.9959137519614
T202207011420129m003450,,T202207011420129m003450,,,,215.0537809211058,-0.580638485002766
C202105151420130p003516,C202105151420130p003516,,,,,215.0541740691512,0.5878546294867993
C202106051420231p013918,C202106051420231p013918,,,,,215.0963335539416,1.654959349133245
C202204211420286p001610,,C202204211420286p001610,,,,215.11914853572264,0.269370764710548
C202204211420306m004130,,C202204211420306m004130,,,,215.12767397354537,-0.6916979977821024
A202303161420513p001107,,,,A202303161420513p001107,,215.21394871505512,0.1852555703131483
T202208111420576m022006,,,T202208111420576m022006,T202303221420576m022006,,215.23986803417404,-2.3350556041658
T202302081420581m015829,,T202302081420581m015829,,T202303221420581m015829,,215.2421752935472,-1.974790017481667
T202207011420594p002352,,T202207011420594p002352,,,,215.24767263255768,0.3978957125838392
A202303161421117p001155,,,,A202303161421117p001155,,215.2987981127163,0.1986774295269077
A202103221421131p013407,A202103221421131p013407,,,,,215.3044372776125,1.5686731870781188
A202105061421132p004942,A202105061421132p004942,,,,,215.3048302939744,0.8284446605205784
C202105181421194m005731,C202105181421194m005731,,,,,215.330795934002,-0.9587352203933198
T202204211421205m005353,,T202204211421205m005353,,,,215.3354504473183,-0.8979371310495788
C202204241421207m000554,,C202204241421207m000554,,,,215.33633635450283,-0.0982889954834484
C202106021421223p012228,C202106021421223p012228,,,,,215.34291309422736,1.3743178832002203
A202208111421252m000422,,,A202208111421252m000422,,,215.3548973853745,-0.0727148604812332
C202304031421386m000320,,,,C202304031421386m000320,,215.41085145404188,-0.0554761406433586
C202303221421549m014017,,,,C202303221421549m014017,,215.47857828595053,-1.6714188350704653
T202206141421552m003322,,T202206141421552m003322,T202208111421552m003322,,,215.48013053546856,-0.5562052195409792
C202204241421556m003346,,C202204241421556m003346,,,,215.48154360406335,-0.5628641634876371
A202204211421578m013450,,A202204211421578m013450,,,,215.4907143096587,-1.5804940882966856
C202303221421582m010757,,,,C202303221421582m010757,,215.49232917133503,-1.132371768958074
A202105061422025p013955,A202105061422025p013955,,,,,215.5104084166136,1.6652259629595458
C202104251422036p013901,C202104251422036p013901,,,,,215.5148912413084,1.6501545394903017
A202105271422045p012434,A202105271422045p012434,,,,,215.5186829076124,1.4095062879832745
C202105061422077m020109,C202105061422077m020109,,,,,215.53224290746047,-2.019240594780628
T202204271422183m023405,,T202204271422183m023405,,,,215.5760531882164,-2.5680792138500674
T202105121422252m004617,T202105121422252m004617,,,,,215.60504491244592,-0.7714434391636003
C202303161422280p004656,,,,C202303161422280p004656,,215.61673161484632,0.7823200700620553
C202303221422349m020745,,,,C202303221422349m020745,,215.6453555276468,-2.1290658825281388
T202208141422353p000758,,,T202208141422353p000758,,,215.6469267700943,0.1327924121627255
C202303161422379m003054,,,,C202303161422379m003054,,215.6577967963057,-0.514994004597071
T202303161422390m005440,,,,T202303161422390m005440,,215.6626630514509,-0.911248893734748
T202205151422391m005439,,T202205151422391m005439,,,,215.66294285080605,-0.9108220814117894
T202104251422421m032333,T202104251422421m032333,,,,,215.67524623064548,-3.3923688863348938
