,STANDARD_NAME,21A,22A,22B,23A,23B,RA,DEC,Z,Z_ERR,SPECTYPE,OBSERVATION_STATUS
46,T202303011039310m072019,,,,T202303011039310m072019,,159.879212965398,-7.338659965368548,,,,N
47,T202212131039337m060460,,,T202212131039337m060460,,,159.89028520567854,-6.083228691123828,0.12886838268645692,1.5740110171860243e-05,GALAXY,Y
48,C202312111039381m075932,,,,C202312111039381m075932,,159.90859260562002,-7.992346260579352,1.090633515217317,0.00023384670733347563,QSO,Y
49,T202302171039394m065425,,,,T202302171039394m065425,,159.91436218122237,-6.907026391065784,,,,N
50,T202212131039437m072425,,,T202212131039437m072425,,,159.93196292591156,-7.406950517388357,,,,N
51,C202304121039507m054838,,,,C202304121039507m054838,,159.96124728063782,-5.810636656884675,,,,N
52,A202212191039533m053922,,,A202212191039533m053922,,,159.9720766097042,-5.656194504336908,,,,N
53,A202212191040022m072052,,,A202212191040022m072052,,,160.0093323201046,-7.347774011570767,,,,N
54,C202212131040061m074057,,,C202212131040061m074057,,,160.025514143171,-7.682411217777552,,,,N
55,T202401041040155m075645,,,,T202401041040155m075645,,160.06447087220687,-7.945870142677026,,,,N
56,T202301091040165m080615,,,T202301091040165m080615,,,160.06871733452263,-8.1040658212944,0.21579124874089395,6.034530311420738e-06,GALAXY,Y
57,A202212191040246m071109,,,A202212191040246m071109,,,160.10257801303126,-7.18573974292474,0.9994107353434767,0.0002570619912363177,QSO,Y
58,A202401071040465m074742,,,,A202401071040465m074742,,160.1937069695893,-7.795072705210477,1.6593175751177518,0.00025029570307721953,QSO,Y
59,C202302021040496m081340,,,,C202302021040496m081340,,160.20660626113354,-8.22778622470178,,,,N
60,A202212251040505m074859,,,A202212251040505m074859,,,160.21062265638,-7.816333214849437,0.27631264610736933,2.887080634188214e-05,GALAXY,Y
61,T202212251040521m070804,,,T202212251040521m070804,T202302141040521m070804,,160.21721289049827,-7.134430287504445,,,,N
62,A202312111040550m064400,,,,A202312111040550m064400,,160.22933178541945,-6.733348310124774,,,,N
63,T202212191040554m054830,,,T202212191040554m054830,,,160.23094373820763,-5.808244786291483,,,,N
64,A202212191041000m054522,,,A202212191041000m054522,,,160.25014862973302,-5.75610476446299,0.1750174091892234,7.86303613122101e-05,GALAXY,Y
65,C202312201041050m064646,,,,C202312201041050m064646,,160.27066371223688,-6.779382419193103,,,,N
66,C202301211041078m072523,,,C202301211041078m072523,,,160.2826987578567,-7.423043112499138,,,,N
67,C202302141041118m065031,,,,C202302141041118m065031,,160.2990585332585,-6.841980337243898,,,,N
68,T202312111041135m054805,,,,T202312111041135m054805,,160.30611432463223,-5.801370520706443,,,,N
69,C202312111041244m055143,,,,C202312111041244m055143,,160.3516279677816,-5.861875122190834,,,,N
70,T202301181041261m075758,,,T202301181041261m075758,,,160.3588725918816,-7.966231396135647,,,,N
71,C202401041041262m075952,,,,C202401041041262m075952,,160.35926266709586,-7.997694496450549,,,,N
72,C202401071041282m061411,,,,C202401071041282m061411,,160.36756725481462,-6.236371938716368,,,,N
