21A,22A,22B,23A,23B,ra_obj,dec_obj
,,T202210170000272m000654,,T202308130000272m000655,0.11330574846326158,-0.11515349860338217
,,T202209090000274p003710,,T202308030000274p003710,0.11400097836931877,0.6194364952129437
,,,,T202308250000287p004453,0.11959811200102875,0.7480559533095579
,,,,T202308250000288p002232,0.11999033758672795,0.37562088608178185
,,T202209090000290m004044,,,0.1208972107245927,-0.6788668728379091
,,T202210170000300p004846,,T202308130000300p004846,0.12498347799609633,0.8127454890275303
,,T202210170000303p001814,,,0.1262073801783572,0.30394129305461703
,,T202209090000305p004820,,T202308020000305p004820,0.12719733556875212,0.8056628955066963
,,T202209090000306m002031,,T202308020000305m002031,0.12729567140218023,-0.34199341710910497
,,T202210170000307m001219,,T202308130000307m001220,0.12783923115921425,-0.20538680918351007
,,T202209090000329p004926,,T202308020000329p004926,0.13709050267220846,0.8238987885638585
,,T202209140000340p004924,,,0.14172907317214367,0.8232634200844625
,,,,T202308250000341m003820,0.14202705752722974,-0.6388249546605498
,,T202210140000341m002415,,,0.1421939225301685,-0.40426481309338574
,,,,T202308220000355p001616,0.14785040760494894,0.2710283380196275
,,T202210110000356m001117,,T202308040000356m001117,0.1482796922084333,-0.18794022562276
,,,,T202308220000374p004738,0.15573442261216994,0.7939711218510649
,,T202209140000390m001804,,T202308020000390m001804,0.16240665750316907,-0.30115792628655186
,,T202209140000394p001553,,,0.16425598907994754,0.2646166430299684
,,T202210260000398p001917,,,0.16565741527978162,0.3213748129757893
,,T202210020000405p002829,,T202308030000405p002829,0.168913844394865,0.4746031165675014
,,T202210110000416m000836,,,0.17326472464736753,-0.1434070310802378
,,T202209140000419m001207,,T202308020000419m001207,0.174442964839983,-0.20193290116667928
,,,,T202308220000423m004304,0.17611678673546294,-0.7176825518180903
,,T202209090000428p003313,,,0.1783795864226363,0.5536743076624175
,,T202209090000430p004449,,T202308020000430p004449,0.17925525302521805,0.7470253339494686
,,T202209090000434m001137,,T202308020000434m001137,0.18066472754443907,-0.19362400920218223
,,,,T202308020000436m005911,0.18175631795264116,-0.986330813994624
,,,,T202308130000440p002833,0.1834444871570895,0.4758174169912236
,,C202210110000440m004812,,,0.18346709233844335,-0.8034058733262306
,,T202209140000447p001553,,,0.18619767818847774,0.2648170564369088
,,T202209090000448p003311,,,0.18685361840181255,0.5530334260291544
,,,,C202308030000449m005336,0.18703013489348,-0.8934662515627338
,,T202209090000457m005239,,,0.19033600702769227,-0.8776053974427487
,,T202210060000461p001826,,T202308040000461p001826,0.19208801055899016,0.3071470519131341
,,,,T202308220000500m004109,0.20850880939900665,-0.6859397089900171
,,T202210140000517p001846,,,0.21557432816996425,0.31280801040697986
,,T202209090000520m003732,,,0.21684620562024293,-0.6256716632574377
