STANDARD_NAME, Priority, RA, DEC, PhotoZ, Host_Mag, Finder_Chart
A202104151408147m001144, 1, 14h08m14.7051s, -00d11m43.6752s, 
C202212131051029m061317, 2, 10h51m02.8817s, -06d13m17.4696s, 
C202212191049483m063944, 2, 10h49m48.2887s, -06d39m44.1794s, 
C202212221055530m052824, 2, 10h55m52.9567s, -05d28m24.4529s, 
C202104061410153p022017, 3, 14h10m15.338s, +02d20m16.9281s, 
T202301031055024m074329, 3, 10h55m02.4446s, -07d43m28.754s, 
A202104061415068p022542, 4, 14h15m06.8069s, +02d25m42.3135s, 
T202204241509329p082207, 5, 15h09m32.912s, +08d22m06.6738s, 
