STANDARD_NAME,SEMESTER_NAME,SCIENCE_NAME,TEMPLATE_NAME,MJD_OBS,FILTER,DETPOS,X_OBJ,Y_OBJ,X_FPHOT,Y_FPHOT,X_nSTAR,Y_nSTAR,X_nGAL,Y_nGAL,X_ALT,Y_ALT,MAG_ALT,MAGERR_ALT,SNR_ALT,CNNSCORE_ALT,ZMIN_TEMP,ZMAX_TEMP,ZMIN_SCI,ZMAX_SCI,ZMIN_DIFF,ZMAX_DIFF,APER_FPHOT,ZP_FPHOT,LIM_MAG3,LIM_MAG5,MAG_FPHOT,MAGERR_FPHOT,SNR_FPHOT,STATUS_FPHOT,REAL,LIMIT
T202301181104274m062457,T202301181104274m062457,b'c4d_221225_074758_xxx_z_v1',b'c4d_151227_062500_xxx_z_ls9',59938.32498519,b'z',b'N22',927.51316831654,1821.0313329894316,928.076909688376,1821.3179494258286,937.4644615068119,1879.609702200899,937.9394402251428,1821.9590705891358,,,,,,,-168.8861451902966,171.5718717155864,-39.370373,90.48210632303238,-171.45008733763464,171.45008733763464,4.69,29.199859,22.790261044526375,22.235639170485484,25.615904843955796,4.828617033102779,0.22484698880796303,b'm',False,True
T202301181104274m062457,T202301181104274m062457,b'c4d_230103_075028_xxx_z_v1',b'c4d_151227_062500_xxx_z_ls9',59947.32672148,b'z',b'N22',927.51316831654,1821.0313329894316,928.076909688376,1821.3179494258286,937.4644615068119,1879.609702200899,937.9394402251428,1821.9590705891358,,,,,,,-168.8861451902966,171.5718717155864,-95.15281306865909,97.6939827752064,-167.9724742337609,167.9724742337609,4.69,29.199859,22.897444620746104,22.342822746705213,24.699484492474774,1.9925711148409655,0.5448739028251214,b'm',False,True
T202301181104274m062457,T202301181104274m062457,b'c4d_230109_071543_xxx_r_v1',b'c4d_170301_044227_xxx_r_v1',59953.30258847,b'r',b'N22',876.2152306883681,1765.4400282951133,876.7790664851236,1765.7263881954107,886.1830674457979,1824.026094250259,886.6420321511896,1766.3620215344317,,,,,,,-22.353088,40.4251789911165,-54.09348,101.94967386636927,-47.03093606724242,47.03093606724242,5.45,28.909165,23.107970386831425,22.553348512790535,26.186429521566335,3.3777457547729615,0.32142738939597204,b'm',False,True
T202301181104274m062457,T202301181104274m062457,b'c4d_230109_071831_xxx_z_v1',b'c4d_151227_062500_xxx_z_ls9',59953.3045327,b'z',b'N22',927.51316831654,1821.0313329894316,928.076909688376,1821.3179494258286,937.4644615068119,1879.609702200899,937.9394402251428,1821.9590705891358,,,,,,,-168.8861451902966,171.5718717155864,-81.71638,144.6344055742275,-171.4949322735339,171.4949322735339,4.69,29.199859,22.701655013636433,22.147033139595543,24.54543611634318,1.7657976382726057,0.6148496160987551,b'm',False,True
T202301181104274m062457,T202301181104274m062457,b'c4d_230111_080536_xxx_z_v1',b'c4d_151227_062500_xxx_z_ls9',59955.33722371,b'z',b'N22',927.51316831654,1821.0313329894316,928.076909688376,1821.3179494258286,937.4644615068119,1879.609702200899,937.9394402251428,1821.9590705891358,,,,,,,-168.8861451902966,171.5718717155864,-155.79083,269.8877943992453,-225.78502871177864,225.78502871177864,4.69,29.199859,22.032907849603365,21.47828597556247,23.08026597534963,0.6152479122179307,1.7646545050207787,b'm',False,True
T202301181104274m062457,T202301181104274m062457,b'c4d_230118_075629_xxx_g_v1',b'c4d_170302_043126_xxx_g_ls9',59962.33090092,b'g',b'N22',901.3022460936672,1737.1724853517117,901.8660888672348,1737.4588623046395,911.2679356783292,1795.7609045798881,911.7293597069929,1738.094625843725,901.3022,1737.1725,19.95377540588379,0.0133,89.18,0.9755885004997253,-16.073479,31.754482230329952,-13.001381,28.78032821715646,-27.969075964234758,27.969075964234758,7.46,28.813636,23.64640661197862,23.091784737937726,19.977353341677983,0.01378242996025693,78.77420767823446,b'p',True,False
T202301181104274m062457,T202301181104274m062457,b'c4d_230118_075746_xxx_r_v1',b'c4d_170301_044227_xxx_r_v1',59962.33179103,b'r',b'N22',876.2152306883681,1765.4400282951133,876.7790664851236,1765.7263881954107,886.1830674457979,1824.026094250259,886.6420321511896,1766.3620215344317,876.0292,1765.4998,20.008255004882812,0.0135,88.19,1.0,-22.353088,40.4251789911165,-50.002394768830285,51.94170930784412,-48.90898599240394,48.90898599240394,7.38,29.310367,23.48799092592204,22.93336905188115,20.0281581634009,0.013944642611589196,77.85785769064387,b'p',True,False
T202301181104274m062457,T202301181104274m062457,b'c4d_230118_075925_xxx_z_v1',b'c4d_151227_062500_xxx_z_ls9',59962.33293045,b'z',b'N22',927.51316831654,1821.0313329894316,928.076909688376,1821.3179494258286,937.4644615068119,1879.609702200899,937.9394402251428,1821.9590705891358,927.5069,1821.2637,20.321468353271484,0.0357,34.68,1.0,-168.8861451902966,171.5718717155864,-80.291885,137.797172863586,-145.09484244068656,145.09484244068656,6.19,29.344544,22.44038873760921,21.88576686356832,20.32892697696382,0.036692617765872355,29.589058129556648,b'p',True,False
T202301181104274m062457,T202301181104274m062457,b'c4d_230124_080527_xxx_g_v1',b'c4d_170302_043126_xxx_g_v1',59968.33712778,b'g',b'N22',901.2985074819217,1737.170788601413,901.8623502648225,1737.4571649185025,911.2641833625676,1795.7592224641344,911.7256224126659,1738.0929152055485,901.9091,1737.4668,17.981586456298828,0.0039,317.9,1.0,-15.689461,31.24585994675882,-13.497392,26.452099777665246,-24.720710218877255,24.720710218877255,4.96,28.801719,24.198114098844684,23.643492224803794,17.97626680036427,0.003881425029267967,279.71685445764285,b'p',True,False
T202301181104274m062457,T202301181104274m062457,b'c4d_230124_080646_xxx_r_v1',b'c4d_170301_044227_xxx_r_v1',59968.33803702,b'r',b'N22',876.2152306883681,1765.4400282951133,876.7790664851236,1765.7263881954107,886.1830674457979,1824.026094250259,886.6420321511896,1766.3620215344317,877.3874,1765.521,18.09893035888672,0.0042,303.6,0.9999997615814209,-22.353088,40.4251789911165,-23.564466,44.68538176825702,-42.4794926225181,42.4794926225181,5.45,28.909165,23.684845497228114,23.130223623187224,18.06939035550514,0.003565969787077518,304.4613568893367,b'p',True,False
